epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
40,143.47,1.15657,1.47682,0.01692,0.60314,0.49143,0.64097,0.45992,1.9053,1.26164,0.01605,7.30541e-05,7.30541e-05,7.30541e-05
41,146.78,0.85451,0.8006,0.01089,0.60314,0.49143,0.64097,0.45992,1.9053,1.26164,0.01605,7.1876e-05,7.1876e-05,7.1876e-05
42,149.967,0.97043,1.2012,0.0122,0.60314,0.49143,0.64097,0.45992,1.9053,1.26164,0.01605,7.06979e-05,7.06979e-05,7.06979e-05
43,153.284,0.47712,2.08528,0.00911,0.56434,0.48419,0.62986,0.45616,1.89994,1.30086,0.01613,6.95198e-05,6.95198e-05,6.95198e-05
44,156.647,0.77535,0.78188,0.01069,0.56434,0.48419,0.62986,0.45616,1.89994,1.30086,0.01613,6.83417e-05,6.83417e-05,6.83417e-05
45,159.821,0.63672,0.85815,0.00984,0.56434,0.48419,0.62986,0.45616,1.89994,1.30086,0.01613,6.71636e-05,6.71636e-05,6.71636e-05
46,163.053,1.13686,1.04038,0.0154,0.60948,0.45568,0.63741,0.45978,1.83166,1.39395,0.01551,6.59855e-05,6.59855e-05,6.59855e-05
47,166.424,0.81602,0.60533,0.00874,0.60948,0.45568,0.63741,0.45978,1.83166,1.39395,0.01551,6.48074e-05,6.48074e-05,6.48074e-05
48,169.879,0.76241,0.73339,0.00867,0.60948,0.45568,0.63741,0.45978,1.83166,1.39395,0.01551,6.36293e-05,6.36293e-05,6.36293e-05
49,173.305,1.03382,1.17269,0.01393,0.60245,0.45547,0.6387,0.46166,1.91087,1.33061,0.0162,6.24512e-05,6.24512e-05,6.24512e-05
50,176.493,0.84594,0.64651,0.01062,0.60245,0.45547,0.6387,0.46166,1.91087,1.33061,0.0162,6.12731e-05,6.12731e-05,6.12731e-05
51,179.684,0.83106,0.76508,0.00994,0.60245,0.45547,0.6387,0.46166,1.91087,1.33061,0.0162,6.0095e-05,6.0095e-05,6.0095e-05
52,182.997,0.97644,0.63916,0.00807,0.62622,0.46249,0.67523,0.47097,1.8685,1.45821,0.01614,5.89169e-05,5.89169e-05,5.89169e-05
53,186.252,0.79477,0.68825,0.01159,0.62622,0.46249,0.67523,0.47097,1.8685,1.45821,0.01614,5.77388e-05,5.77388e-05,5.77388e-05
54,189.498,1.02586,1.18091,0.01724,0.62622,0.46249,0.67523,0.47097,1.8685,1.45821,0.01614,5.65607e-05,5.65607e-05,5.65607e-05
55,193.012,0.9184,0.66952,0.00927,0.58738,0.46516,0.67512,0.46833,1.94746,1.36451,0.01683,5.53826e-05,5.53826e-05,5.53826e-05
56,196.299,0.91545,0.97651,0.00888,0.58738,0.46516,0.67512,0.46833,1.94746,1.36451,0.01683,5.42045e-05,5.42045e-05,5.42045e-05
57,199.757,0.72272,0.69917,0.008,0.58738,0.46516,0.67512,0.46833,1.94746,1.36451,0.01683,5.30264e-05,5.30264e-05,5.30264e-05
58,203.057,0.75781,0.61362,0.0066,0.77101,0.45806,0.63151,0.44996,1.96008,1.39505,0.01684,5.18483e-05,5.18483e-05,5.18483e-05
59,206.345,1.07549,0.70481,0.01697,0.77101,0.45806,0.63151,0.44996,1.96008,1.39505,0.01684,5.06702e-05,5.06702e-05,5.06702e-05
60,209.691,1.02011,1.21257,0.01694,0.77101,0.45806,0.63151,0.44996,1.96008,1.39505,0.01684,4.94921e-05,4.94921e-05,4.94921e-05
61,213.072,0.68544,0.60631,0.00738,0.75773,0.46388,0.67252,0.45412,1.9666,1.49967,0.0172,4.8314e-05,4.8314e-05,4.8314e-05
62,216.628,0.65314,0.88698,0.01064,0.75773,0.46388,0.67252,0.45412,1.9666,1.49967,0.0172,4.71359e-05,4.71359e-05,4.71359e-05
63,219.832,1.17237,1.79441,0.0231,0.75773,0.46388,0.67252,0.45412,1.9666,1.49967,0.0172,4.59578e-05,4.59578e-05,4.59578e-05
64,223.5,0.86991,0.79562,0.00866,0.75774,0.45997,0.63651,0.42654,1.98193,1.50328,0.01754,4.47797e-05,4.47797e-05,4.47797e-05
65,226.82,0.76315,0.51199,0.00866,0.75774,0.45997,0.63651,0.42654,1.98193,1.50328,0.01754,4.36016e-05,4.36016e-05,4.36016e-05
66,229.985,0.7342,0.52579,0.01207,0.75774,0.45997,0.63651,0.42654,1.98193,1.50328,0.01754,4.24235e-05,4.24235e-05,4.24235e-05
67,233.248,0.74301,0.41403,0.00685,0.75352,0.46842,0.6776,0.43894,1.98846,1.49943,0.01759,4.12454e-05,4.12454e-05,4.12454e-05
68,236.545,0.98013,0.83997,0.01058,0.75352,0.46842,0.6776,0.43894,1.98846,1.49943,0.01759,4.00673e-05,4.00673e-05,4.00673e-05
69,239.841,0.76854,0.71482,0.01075,0.75352,0.46842,0.6776,0.43894,1.98846,1.49943,0.01759,3.88892e-05,3.88892e-05,3.88892e-05
70,243.136,1.09924,0.89542,0.01731,0.75825,0.46703,0.67837,0.43736,1.99912,1.49696,0.01788,3.77111e-05,3.77111e-05,3.77111e-05
71,246.473,0.64385,0.58137,0.00502,0.75825,0.46703,0.67837,0.43736,1.99912,1.49696,0.01788,3.6533e-05,3.6533e-05,3.6533e-05
72,249.648,0.79984,0.55632,0.00693,0.75825,0.46703,0.67837,0.43736,1.99912,1.49696,0.01788,3.53549e-05,3.53549e-05,3.53549e-05
73,253.139,0.73931,0.67134,0.0086,0.78122,0.46476,0.67917,0.4366,2.00435,1.5504,0.01794,3.41768e-05,3.41768e-05,3.41768e-05
74,256.51,0.87394,0.72949,0.01054,0.78122,0.46476,0.67917,0.4366,2.00435,1.5504,0.01794,3.29987e-05,3.29987e-05,3.29987e-05
75,259.7,1.04898,1.1485,0.01807,0.78122,0.46476,0.67917,0.4366,2.00435,1.5504,0.01794,3.18206e-05,3.18206e-05,3.18206e-05
76,263.529,0.7833,0.71931,0.00858,0.75305,0.4668,0.69202,0.4396,2.00768,1.49446,0.01818,3.06425e-05,3.06425e-05,3.06425e-05
77,266.994,0.82165,0.68588,0.00901,0.75305,0.4668,0.69202,0.4396,2.00768,1.49446,0.01818,2.94644e-05,2.94644e-05,2.94644e-05
